"names","scores","logfoldchanges","pvals","pvals_adj","group"
"Eef2k",6.3094807,1.2789619,4.02947730865892e-10,9.81872109466845e-10,"natural killer cell"
"Ddx28",6.3049545,1.7097262,4.14997672364944e-10,1.00999695751615e-09,"natural killer cell"
"Slc25a24",6.298807,1.1756139,4.30536100706047e-10,1.04708124701762e-09,"natural killer cell"
"Acpl2",6.2874427,1.8296794,4.63278188826326e-10,1.12513881134879e-09,"natural killer cell"
"Atg5",6.2836967,0.8469392,4.7138958467619e-10,1.14384075444958e-09,"natural killer cell"
"5830432E09Rik",6.2755437,3.2481883,5.0026145280794e-10,1.21284216031685e-09,"natural killer cell"
"A830007P12Rik",6.268303,1.2072618,5.19520385539704e-10,1.25865702873272e-09,"natural killer cell"
"Alad",6.2542806,0.95618266,5.66079966710575e-10,1.36907561094126e-09,"natural killer cell"
"Rhog",6.250857,0.6192972,5.76701653933301e-10,1.39452209908034e-09,"natural killer cell"
"Gsg2",6.246403,2.573976,5.98778310811096e-10,1.447151539028e-09,"natural killer cell"
"2610001J05Rik",6.2403555,0.552653,6.15184011770215e-10,1.48602752522179e-09,"natural killer cell"
"Sp100",6.236189,0.9160844,6.32488342704887e-10,1.52756249458618e-09,"natural killer cell"
"Rnf114",6.2316995,0.6983836,6.49590516887449e-10,1.56805090785333e-09,"natural killer cell"
"Mllt3",6.2280726,1.0472978,6.66058096763825e-10,1.60724471573049e-09,"natural killer cell"
"Zbtb8os",6.2226977,0.89271843,6.88245826254832e-10,1.66020969455788e-09,"natural killer cell"
"Elovl7",6.2143197,1.348801,7.26159129641422e-10,1.75045216341788e-09,"natural killer cell"
"Sharpin",6.194702,0.89967597,8.1721370847061e-10,1.9655203931616e-09,"natural killer cell"
"Tnfaip3",6.192255,0.82305676,8.2731591680942e-10,1.98878688963977e-09,"natural killer cell"
"Herc4",6.1793146,0.97542226,8.98842157248228e-10,2.15849261187728e-09,"natural killer cell"
"Inpp1",6.171229,1.3697807,9.45995640359518e-10,2.26976996026282e-09,"natural killer cell"
"Rpl30",6.1673927,1.0788343,9.66946948601468e-10,2.3196395780598e-09,"natural killer cell"
"Gps2",6.1642485,0.6757374,9.8292905664233e-10,2.35757329385215e-09,"natural killer cell"
"Capn2",6.1603074,0.6191727,1.00574865384738e-09,2.41106027384354e-09,"natural killer cell"
"AI413582",6.1588492,0.76340276,1.01743243783033e-09,2.4386496155365e-09,"natural killer cell"
"BC003266",6.1555305,0.7788243,1.03784163515668e-09,2.48713950817975e-09,"natural killer cell"
"Arfrp1",6.1508107,0.73917586,1.06818140302204e-09,2.55940676617381e-09,"natural killer cell"
"Nudt21",6.142073,0.568018,1.12409243042557e-09,2.69151887236918e-09,"natural killer cell"
"Magohb",6.138049,0.9899272,1.15703505829574e-09,2.76849175774064e-09,"natural killer cell"
"Sema4d",6.1169357,0.8618924,1.31239997072242e-09,3.13323958024811e-09,"natural killer cell"
"Runx2",6.1098933,1.4072739,1.372534675647e-09,3.27512088098764e-09,"natural killer cell"
"Cklf",6.098308,0.90728295,1.47096444264153e-09,3.50698681384018e-09,"natural killer cell"
"Polr3k",6.0955386,0.83893776,1.49583726073469e-09,3.56506600011772e-09,"natural killer cell"
"Gm5506",6.0873504,1.3695377,1.57600960206086e-09,3.75228829661181e-09,"natural killer cell"
"P2ry10",6.0840793,0.9989039,1.60044209542446e-09,3.80850502741946e-09,"natural killer cell"
"Lair1",6.081018,1.5682678,1.63670709422025e-09,3.89413766170572e-09,"natural killer cell"
"Lrrc8c",6.07429,1.1742141,1.70132066269811e-09,4.04510417513585e-09,"natural killer cell"
"Phf15",6.0685267,1.1167016,1.7627403174882e-09,4.19042144121469e-09,"natural killer cell"
"4831426I19Rik",6.0491643,2.6117208,1.99046899855023e-09,4.72613319611423e-09,"natural killer cell"
"Slain1",6.0413127,1.453873,2.07927007836411e-09,4.93361492430659e-09,"natural killer cell"
"D8Ertd82e",6.031836,1.8139352,2.20505900688857e-09,5.23119059899383e-09,"natural killer cell"
"Lsm10",6.0250506,0.8945381,2.28675988474523e-09,5.4222422680188e-09,"natural killer cell"
"4933433P14Rik",6.0063477,0.93830776,2.55859538591334e-09,6.0595791710275e-09,"natural killer cell"
"Il27ra",6.0006475,1.4074687,2.64997945625064e-09,6.27280462684325e-09,"natural killer cell"
"Cox16",5.9892573,0.55283433,2.82549731609371e-09,6.68259397508334e-09,"natural killer cell"
"Afmid",5.968488,1.3905128,3.21160245762314e-09,7.58288972397756e-09,"natural killer cell"
"Tmsb15b1",5.9628935,1.7152103,3.32525619538544e-09,7.84990529014087e-09,"natural killer cell"
"Zmiz1",5.9455113,0.72153383,3.66890859947734e-09,8.64503666440827e-09,"natural killer cell"
"AI314976",5.9317555,0.72476274,3.98010865374191e-09,9.36721767856993e-09,"natural killer cell"
"Sigirr",5.920569,1.012448,4.25392753310182e-09,1.00065774228304e-08,"natural killer cell"
"Fbxo46",5.9195647,1.6933064,4.29399321670378e-09,1.00940019536868e-08,"natural killer cell"
"Acsl5",5.91893,0.6937626,4.29143582099238e-09,1.00913983216275e-08,"natural killer cell"
"Nudt16",5.918755,1.1362457,4.30434716680132e-09,1.01166329409153e-08,"natural killer cell"
"Cep110",5.9182634,0.85538363,4.31304618029896e-09,1.01353672984372e-08,"natural killer cell"
"Vps29",5.9176145,0.51406664,4.31758342799402e-09,1.01443171141105e-08,"natural killer cell"
"Derl2",5.9045806,0.7285729,4.67065955806335e-09,1.09627805948069e-08,"natural killer cell"
"Tapbpl",5.902908,1.040764,4.72442213452351e-09,1.10871005621547e-08,"natural killer cell"
"Rabgap1l",5.899599,0.68504006,4.80514030322687e-09,1.12708269858839e-08,"natural killer cell"
"Nmb",5.893587,1.3299482,4.98928649626244e-09,1.17007845880171e-08,"natural killer cell"
"Lrrfip2",5.8922668,0.7340641,5.02449289006627e-09,1.17813652556194e-08,"natural killer cell"
"Nckap1l",5.8914537,0.9951449,5.0527788388942e-09,1.18456945463533e-08,"natural killer cell"
"Fbxl14",5.8903413,1.0152254,5.08840804024932e-09,1.19252067892779e-08,"natural killer cell"
"Ormdl1",5.888228,1.0359662,5.1513796944467e-09,1.20707552140031e-08,"natural killer cell"
