symbol	Reference	species	m	gene_name	ensembl	models	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	WM	p_value	fdr	t_stat	log_fc	rank	mean_expr	best_gene_m	best_gene_name	best_gene_ensembl	best_gene_p_value	best_gene_fdr	best_gene_t_stat	best_gene_log_fc	best_gene_mean_expr
dtx4	Molyneaux	MH	11822	DTX4	ENSG00000110042	Layer2+Layer3+Layer4	0	1	1	1	0	0	0	0.3023505601	0.5021038415	-1.038388682	-0.08225955345	13447	5.600327596	8315	VSTM2A	ENSG00000170419	1.03E-17	2.30E-13	11.14812183	1.008219378	7.439451534
Mdga1	Molyneaux	MH	7305	MDGA1	ENSG00000112139	Layer2+Layer3	0	1	1	0	0	0	0	0.3342132679	0.5942130959	0.9717803963	0.2082675982	12560	3.552147351	6121	CARTPT	ENSG00000164326	5.55E-19	1.24E-14	11.8347748	2.183571906	6.426823464
Sox5	Molyneaux	MH	13730	SOX5	ENSG00000134532	Layer5+Layer6	0	0	0	0	1	1	0	0.3825574226	0.7048007428	0.8782386088	0.1803502981	12121	3.749921166	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Otx1	Molyneaux	MH	2645	OTX1	ENSG00000115507	Layer5+Layer6	0	0	0	0	1	1	0	0.3978510248	0.7166581621	-0.850216967	-0.2016859168	12397	2.065755889	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Sv2c	Zeng	H	6161	SV2C	ENSG00000122012	Layer3	0	0	1	0	0	0	0	0.4401499193	0.812807111	0.7759733686	0.2639779435	12092	4.401337008	6121	CARTPT	ENSG00000164326	2.07E-12	4.63E-08	8.363742991	2.264233817	6.426823464
Lix1	Molyneaux	MH	6263	LIX1	ENSG00000145721	Layer5	0	0	0	0	1	0	0	0.4444132948	0.8200161551	-0.7687313086	-0.2717991663	12102	4.274512095	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Pcdh20	Zeng	MH	14932	PCDH20	ENSG00000280165	Layer5+Layer6	0	0	0	0	1	1	0	0.4954501963	0.7842509946	0.684934447	0.1822606691	14107	2.096336963	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Tpbg	Zeng	MH	7534	TPBG	ENSG00000146242	Layer3+Layer5+Layer6	0	0	1	0	1	1	0	0.522639844	0.7430950082	-0.6422291704	-0.111308245	15706	5.95152183	14498	WSB2	ENSG00000176871	4.28E-10	9.56E-06	7.156157663	0.379212744	9.344481955
Rgs8	Molyneaux	MH	1765	RGS8	ENSG00000135824	Layer2+Layer6	0	1	0	0	0	1	0	0.5537118507	0.8397812644	0.5948239206	0.1497032865	14724	3.280288108	15352	GNG2	ENSG00000186469	3.98E-19	8.88E-15	11.915234	0.9491196623	7.418248864
Igsf11	Zeng	MH	4445	IGSF11	ENSG00000144847	Layer2+Layer3	0	1	1	0	0	0	0	0.5655698512	0.7742606882	0.57708726	0.1184198289	16312	5.005708596	6121	CARTPT	ENSG00000164326	5.55E-19	1.24E-14	11.8347748	2.183571906	6.426823464
Ldb2	Molyneaux	MH	5138	LDB2	ENSG00000169744	Layer5	0	0	0	0	1	0	0	0.6025297839	0.8940854943	0.5229306633	0.09005600603	15049	7.623309172	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Syt10	Zeng	MH	13799	SYT10	ENSG00000110975	Layer6	0	0	0	0	0	1	0	0.6411746554	0.8967985518	0.467910933	0.1350452328	15964	0.8470677148	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Npy2r	Zeng	H	5692	NPY2R	ENSG00000185149	Layer6	0	0	0	0	0	1	0	0.717734389	0.9207552907	-0.3628233913	-0.1365638104	17405	2.557845578	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Cyp39a1	Molyneaux	MH	7412	CYP39A1	ENSG00000146233	Layer4	0	0	0	1	0	0	0	0.7235086943	0.8818663093	-0.3550736805	-0.08797880398	18321	0.6746881293	13544	VAMP1	ENSG00000139190	2.50E-12	4.94E-08	8.321384077	1.271969521	7.017662699
Cntn6	Molyneaux	MH	3764	CNTN6	ENSG00000134115	Layer5	0	0	0	0	1	0	0	0.7447547738	0.9382736458	0.3267395655	0.07543394738	17723	3.811192188	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Diaph3	Molyneaux	MH	14930	DIAPH3	ENSG00000139734	Layer2+Layer3+Layer5	0	1	1	0	1	0	0	0.9384052916	0.9692352017	0.07752810062	0.01870402623	21620	2.309178747	5702	FAM198B	ENSG00000164125	2.83E-14	6.32E-10	-9.333344326	-0.6865735326	6.689981223
Ppp1r1b	Molyneaux	MH	18271	PPP1R1B	ENSG00000131771	Layer6	0	0	0	0	0	1	0	0.9409070619	0.9889342185	0.07437311102	0.007494852732	21246	7.722240841	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Crym	Molyneaux	MH	16941	CRYM	ENSG00000103316	Layer5+Layer6	0	0	0	0	1	1	0	0.9680199966	0.9894655808	0.04022283903	0.005342451943	21847	8.640983059	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Syt9	Molyneaux	MH	11537	SYT9	ENSG00000170743	Layer5	0	0	0	0	1	0	0	0.9710691279	0.9934909183	-0.03638596892	-0.008578771112	21827	3.296753766	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
