"names","scores","logfoldchanges","pvals","pvals_adj","group"
"C20H16orf74",26.247814,2.5180323,2.64411224256268e-142,2.40096059512702e-141,"B cell"
"RPL39",26.106735,8.1872835,3.49511331751105e-141,3.15823130259409e-140,"B cell"
"RPL37",25.919353,12.341085,1.75110881713299e-139,1.56927439473957e-138,"B cell"
"CLEC17A",25.885666,5.113292,1.75445035819723e-138,1.56381828391617e-137,"B cell"
"LOC105856756",25.87853,2.095102,1.02585150444171e-138,9.15940919621811e-138,"B cell"
"BCL2",25.86281,1.6596,1.19029145799305e-138,1.06216067827536e-137,"B cell"
"LOC105869970",25.761688,4.816474,3.09453826833477e-138,2.75362344809263e-137,"B cell"
"LOC105870896",25.637573,1.5621437,8.77884482159914e-137,7.74174703285103e-136,"B cell"
"LOC105862102",25.542412,2.521733,1.12315324453891e-135,9.82766886480879e-135,"B cell"
"RPS3A",25.351236,6.509612,5.18344949593918e-134,4.50304136111242e-133,"B cell"
"ARPC5L",25.29073,1.7968489,6.82426412144685e-133,5.88950255279838e-132,"B cell"
"IFI30",25.246468,4.569227,7.56813656769011e-133,6.5279062444935e-132,"B cell"
"RPL6",25.108778,4.9337354,1.46871415212098e-131,1.25891496787758e-130,"B cell"
"MX2",24.928322,2.747481,3.0520654346852e-129,2.58375953201225e-128,"B cell"
"RASAL2",24.903698,2.3430839,4.68652921300487e-129,3.96317361708455e-128,"B cell"
"ATF7IP",24.71401,1.5531235,2.62914863960608e-127,2.20206923140213e-126,"B cell"
"RPL32",24.566734,1.6974696,6.29467817408357e-126,5.23183894980742e-125,"B cell"
"ZCCHC11",24.427044,1.7286623,1.50008083024392e-124,1.23700724627468e-123,"B cell"
"LAT2",24.3522,1.2269694,4.87733416665102e-124,4.00729914620618e-123,"B cell"
"RPS28",24.260098,12.475259,2.15439442854599e-123,1.76548281011848e-122,"B cell"
"ST8SIA4",24.162882,1.9477359,5.05124362227773e-122,4.10946644188869e-121,"B cell"
"LAX1",24.10247,2.30787,1.86878482275495e-121,1.51527382862032e-120,"B cell"
"RPS13",24.065859,4.8574033,1.54392149773534e-121,1.2531535927909e-120,"B cell"
"PLEKHA2",23.90151,2.3322124,1.55834888861554e-119,1.250688108288e-118,"B cell"
"LOC105861367",23.85894,1.2729102,1.00457737201332e-119,8.06862819647407e-119,"B cell"
"LOC105872966",23.767315,3.1292996,1.1758790788511e-118,9.38231802874637e-118,"B cell"
"LOC105885870",23.72156,1.9132472,5.31268140145268e-118,4.22827174231807e-117,"B cell"
"PLD4",23.488985,2.009853,7.68709318477769e-116,6.05380202847189e-115,"B cell"
"FAU",23.463795,9.207102,7.51949420514464e-116,5.92329357274756e-115,"B cell"
"LOC105881808",23.22687,4.0923824,1.21563058754762e-113,9.46227870134334e-113,"B cell"
"CCR6",23.226286,3.301512,2.63995490805836e-113,2.05135238466118e-112,"B cell"
"LOC105878078",23.163893,1.5147986,3.0935578932895e-113,2.40263533792603e-112,"B cell"
