DepMap_ID,stripped_cell_line_name,CCLE_Name,sex,primary_disease,Subtype,lineage.x,lineage_subtype,lineage_sub_subtype,lineage.y,1st_rank_DEG,2nd_rank_DEG,3rd_rank_DEG,4th_rank_DEG,5th_rank_DEG,6th_rank_DEG,7th_rank_DEG,8th_rank_DEG,9th_rank_DEG,10th_rank_DEG
ACH-000910,MDAMB453,MDAMB453_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERneg_HER2neg,breast,SLC1A7,CALML5,CLCA2,FGFR4,SPDEF,AZGP1,MUCL1,S100A14,HID1,TFAP2B
ACH-000911,NUGC3,NUGC3_STOMACH,Male,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,,gastric,KISS1,XAGE1B,IL1A,MAGEA4,IL1B,KRT81,CLDN6,XAGE1A,MAGEB2,INHBA
ACH-000912,NCIH2286,NCIH2286_LUNG,Female,Lung Cancer,Small Cell Lung Cancer (SCLC),lung,SCLC,,lung,TFPI2,MAGEA4,ANGPTL4,CXCL5,CGA,MAGEA10,CD36,LVRN,HGF,GPAT2
ACH-000913,ESS1,ESS1_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Endometrial Stromal Sarcoma,uterus,endometrial_stromal_sarcoma,,uterus,CXCL1,SAA1,KISS1,SUSD2,CHI3L1,IL1B,IFI27,GREM1,CXCL8,TNFRSF11B
ACH-000914,HT,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"B-cell, Non-Hodgkins",lymphocyte,non_hodgkin_lymphoma,b_cell,lymphocyte,CD79A,VPREB3,POU2AF1,CD52,CD79B,MEF2B,RASGRP3,ACTL8,SPIB,DTX1
ACH-000915,IPC298,IPC298_SKIN,Female,Skin Cancer,Melanoma,skin,melanoma,,skin,IL24,S100B,TYRP1,PMEL,TAC1,MMP1,TIMP3,HLA-DRA,DCT,HLA-DRB1
ACH-000916,NCIH1573,NCIH1573_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,CES1,CEACAM6,CEACAM5,CYP24A1,ALDH3A1,S100P,MAGEA4,AKR1C1,GPX2,ABCC2
ACH-000917,TE4,TE4_OESOPHAGUS,Female,Esophageal Cancer,Squamous Cell Carcinoma,esophagus,esophagus_squamous,,esophagus,AGR2,RPS4Y1,GRB7,ERBB2,SMOC1,CEACAM6,TFF1,KRT17,SCGB2A2,CPS1
ACH-000918,MOLT16,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",blood,ALL,t_cell,blood,ITM2A,CD3D,CD3E,CTSW,PTPRC,ARMH1,RETN,CD52,GNLY,NKG7
ACH-000919,IM95,IM95_STOMACH,Male,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,,gastric,FABP1,AGR2,PAGE2B,LGALS4,GAGE2E,PIGR,HGF,AGR3,PAGE1,MUC2
