DepMap_ID,stripped_cell_line_name,CCLE_Name,sex,primary_disease,Subtype,lineage.x,lineage_subtype,lineage_sub_subtype,lineage.y,1st_rank_DEG,2nd_rank_DEG,3rd_rank_DEG,4th_rank_DEG,5th_rank_DEG,6th_rank_DEG,7th_rank_DEG,8th_rank_DEG,9th_rank_DEG,10th_rank_DEG
ACH-000326,JURLMK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",blood,CML,blast_crisis,blood,TPSAB1,TPSB2,TPSD1,GFI1B,ITGA2B,PRG2,CD69,LMO2,LCP2,LAT
ACH-000327,NCIH1395,NCIH1395_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,SCGB2A2,CCN3,CALCA,TFF1,AGR2,CEACAM5,FXYD4,CPS1,CGA,FGG
ACH-000328,LN215,LN215_CENTRAL_NERVOUS_SYSTEM,Female,Brain Cancer,Glioblastoma,central_nervous_system,glioma,glioblastoma,central_nervous_system,CPA4,PAGE2,CHI3L1,COL1A2,MAGEC2,RARRES2,IFI27,MX1,IL13RA2,IFI44L
ACH-000329,CCFSTTG1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,Female,Brain Cancer,Astrocytoma,central_nervous_system,glioma,astrocytoma,central_nervous_system,LBP,COL1A2,IGFBP5,COL6A3,CXCL12,DCN,COL6A2,COL1A1,ACTG2,C1R
ACH-000330,EFM19,EFM19_BREAST,Female,Breast Cancer,Breast Ductal Carcinoma,breast,breast_ductal_carcinoma,ERpos_HER2neg,breast,SPTSSB,SCGB2A2,COL2A1,TFF1,AGR2,TAL1,IGFBP5,KCNF1,TFF3,S100A14
ACH-000331,ISTMES2,ISTMES2_PLEURA,Male,Lung Cancer,Mesothelioma,lung,mesothelioma,,lung,CCL2,UPK3B,ALDH1A2,CDH11,BDKRB1,ANXA8,RPS4Y1,CALB2,ANXA8L1,PTGIS
ACH-000332,YAPC,YAPC_PANCREAS,Male,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,TFF2,TFF3,AGR2,RNASE1,LY6D,S100A4,PLCH2,TMPRSS4,CP,S100P
ACH-000333,JHOM2B,JHOM2B_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, mucinous",ovary,ovary_adenocarcinoma,mucinous,ovary,CEACAM5,LGALS4,TSPAN8,KRT20,CEACAM6,PHGR1,REG4,VIL1,AGR2,EPS8L3
ACH-000334,DB,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),lymphocyte,non_hodgkin_lymphoma,DLBCL,lymphocyte,MS4A1,CD52,RGS13,CD79A,CD37,CD79B,TNNI1,VPREB3,TCL1A,FCRLA
ACH-000335,MSTO211H,MSTO211H_PLEURA,Male,Lung Cancer,Mesothelioma,lung,mesothelioma,,lung,ESM1,SERPINB2,PTX3,IL1B,CLDN11,TNFRSF6B,IL1A,RPS4Y1,CXCL8,NPTX1
ACH-000336,OCIAML3,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",blood,AML,M4,blood,CTSG,MYBPH,FCER1G,FCGR2B,MT1G,CACNA2D4,LAMP5,ITGB2,NCF4,XAGE1B
ACH-000337,NCIH3122,NCIH3122_LUNG,Unknown,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,S100A14,AGR2,AQP3,CEACAM5,SCEL,CRIP1,CEACAM6,ADGRF5,SMIM22,NKX2-1
ACH-000338,SR786,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,lymphocyte,GZMB,CST7,IL2RA,KIR2DL4,SERPINA1,MYO1G,PRF1,HDC,G0S2,IL26
ACH-000339,HCC461,HCC461_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,XAGE1B,NOX5,DIO2,CA9,KRT81,XAGE1A,S100A2,THY1,F3,ANXA8
ACH-000340,HS870T,HS870T_FIBROBLAST,Male,Fibroblast,Bone,fibroblast,fibroblast_bone,,fibroblast,ELN,COL1A2,TAGLN,GREM1,PENK,POSTN,COL1A1,PTX3,ACTA2,RGS4
ACH-000341,SKNFI,SKNFI_AUTONOMIC_GANGLIA,Male,Neuroblastoma,,peripheral_nervous_system,neuroblastoma,,peripheral_nervous_system,DLK1,NPY,CRABP1,PHOX2A,VCY,CHRNA3,VCY1B,CRH,GPR50,VIP
ACH-000342,CL14,CL14_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,IGF2,LY6G6D,PHGR1,LGALS4,CDX2,RGCC,S100P,ALPG,USH1C,AREG
ACH-000343,NCIH522,NCIH522_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,SOSTDC1,ALDH1A1,SFRP4,CTAG2,COL11A1,SOX2,SEMA3D,COL5A2,COL3A1,GJA1
ACH-000344,SNU668,SNU668_STOMACH,Male,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,diffuse_gastric,gastric,COL3A1,SLPI,AKR1C1,S100A4,CCN5,POSTN,INHA,PRSS21,TNFRSF11B,KYNU
ACH-000345,KPNRTBM1,KPNRTBM1_AUTONOMIC_GANGLIA,Female,Neuroblastoma,,peripheral_nervous_system,neuroblastoma,,peripheral_nervous_system,NPY,MYCN,MARCHF11,HAND2,PHOX2A,ENPP2,STMN2,RET,ELAVL4,PRPH
ACH-000346,JVM3,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Chronic Lymphoblastic Leukemia (CLL), B-cell",blood,CLL,b_cell,blood,CCL3,FCER2,CD48,MZB1,MS4A1,PLEK,HLA-DRA,CCR7,CD79A,HLA-DQA1
ACH-000347,QGP1,QGP1_PANCREAS,Male,Pancreatic Cancer,Somatostatinoma,pancreas,endocrine,somatostatinoma,pancreas,CALCA,SST,NTS,CEACAM5,TSPAN8,SCG2,TPH1,GCNT3,CHGB,VGF
ACH-000348,RPMI7951,RPMI7951_SKIN,Female,Skin Cancer,Melanoma,skin,melanoma,,skin,COL1A2,TMEM119,MMP2,COL6A2,THY1,VIPR1,APCDD1L,DPT,SPARC,COL1A1
ACH-000349,HCC1500,HCC1500_BREAST,Female,Breast Cancer,Breast Ductal Carcinoma,breast,breast_ductal_carcinoma,ERpos_HER2neg,breast,TFF3,TFF1,IGFBP5,ALB,AGR3,NPY1R,MGP,AGR2,AREG,ARHGAP36
ACH-000350,COLO678,COLO678_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,SIGLEC6,PRAC1,UPK2,SP6,SNCG,LY6D,CAPN6,IGFL2,PADI1,HPGD
ACH-000351,MKN1,MKN1_STOMACH,Male,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,,gastric,TPPP3,XAGE1B,IGF2,PNMA5,CRIP1,ALPP,PTGIS,PTGDS,AQP1,ANGPTL2
ACH-000352,HCC1428,HCC1428_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERpos_HER2neg,breast,TFF1,SPTSSB,PDZK1,PAGE2,TFF3,TTC39A,KRT19,GREB1,CTAG2,EFHD1
ACH-000353,TE15,TE15_OESOPHAGUS,Female,Esophageal Cancer,Squamous Cell Carcinoma,esophagus,esophagus_squamous,,esophagus,KRT5,KRT14,KRT6A,KRT4,LY6D,KRT13,FGFBP1,KLK5,CALML5,COL17A1
ACH-000354,CAPAN1,CAPAN1_PANCREAS,Male,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,SPINK1,LCN2,CXCL5,TFF2,RNASE1,DEFB1,UGT1A10,TRIM31,OLFM4,ALPG
ACH-000355,NCIH82,NCIH82_LUNG,Male,Lung Cancer,Small Cell Lung Cancer (SCLC),lung,SCLC,,lung,OTX2,PDC,RTN1,IMPG2,ATOH7,DCT,AIPL1,GNGT1,SLC38A5,NEFM
ACH-000356,MKN45,MKN45_STOMACH,Female,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,diffuse_gastric,gastric,CEACAM5,AGR2,TSPAN8,UPK1B,AGR3,REG4,LGALS4,PPP1R1B,VIL1,GPX2
ACH-000357,JEKO1,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,lymphocyte,TCL1A,TCL1B,CD79B,SSX4,HLA-DRA,CD79A,IGLL5,SPIB,MZB1,LSP1
ACH-000358,NCIH69,NCIH69_LUNG,Male,Lung Cancer,Small Cell Lung Cancer (SCLC),lung,SCLC,,lung,DAZ1,MYCN,COL2A1,INSM1,FABP7,CHGB,CPLX2,SEZ6,HEPACAM2,DLX5
ACH-000359,MG63,MG63_BONE,Male,Bone Cancer,Osteosarcoma,bone,osteosarcoma,,bone,RPS4Y1,COL6A3,BGN,CCN2,HRCT1,GSTM1,TNFRSF11B,FAM107A,SVEP1,TPM2
ACH-000360,NCIH508,NCIH508_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Caecum Adenocarcinoma,colorectal,caecum_adenocarcinoma,,colorectal,FABP1,PHGR1,LGALS4,TFF3,PPP1R1B,CEACAM5,MUC12,LCN15,TSPAN8,LY6G6D
ACH-000361,SKHEP1,SKHEP1_LIVER,Male,Liver Cancer,Hepatocellular Carcinoma,liver,hepatocellular_carcinoma,,liver,KRTAP2-3,ANPEP,PLAT,MOK,PSG5,OXTR,CAVIN2,SRGN,TGM2,G0S2
ACH-000362,MOLM13,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,PRTN3,AZU1,ELANE,PRG2,PRSS57,PPP1R27,RNASE2,SRGN,CTSG,LST1
ACH-000364,U2OS,U2OS_BONE,Female,Bone Cancer,Osteosarcoma,bone,osteosarcoma,,bone,DHRS2,TUBA3C,XAGE1B,PAGE2,PAGE2B,HAPLN1,KRT81,PCLO,KRT17,XAGE1A
ACH-000365,SUDHL4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),lymphocyte,non_hodgkin_lymphoma,DLBCL,lymphocyte,MS4A1,VPREB3,CD52,CD79A,JCHAIN,IRAG2,CD79B,CD22,MEF2B,HLA-DRA
ACH-000366,SKNDZ,SKNDZ_AUTONOMIC_GANGLIA,Female,Neuroblastoma,,peripheral_nervous_system,neuroblastoma,,peripheral_nervous_system,MYCN,PHOX2A,GFRA2,SHD,ELAVL4,ASCL1,CHRNA3,TLX2,PHOX2B,CHGA
ACH-000367,NCIH226,NCIH226_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",lung,NSCLC,NSCLC_squamous,lung,NPPB,RGS4,ALDH1A2,UPK1B,ALDH1A3,UPK3B,SLPI,KRT7,ANXA8,SERPINE1
ACH-000368,SNU1105,SNU1105_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Glioblastoma,central_nervous_system,glioma,glioblastoma,central_nervous_system,COL1A1,COL1A2,COL6A3,TGFBI,C5orf46,SPARC,THY1,SCG5,TAGLN,IGFBP5
ACH-000369,MOLM16,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,HBG2,HDC,ICAM4,CA1,RHAG,ITGA2B,ITM2A,APOC1,MYL4,APOE
ACH-000370,SNU626,SNU626_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Glioblastoma,central_nervous_system,glioma,glioblastoma,central_nervous_system,ELN,GFAP,OLFML1,CRYAB,RARRES2,THY1,GPM6A,A2M,FABP7,BEX1
ACH-000371,RL,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"B-cell, Non-Hodgkins",lymphocyte,non_hodgkin_lymphoma,b_cell,lymphocyte,VPREB3,CD79B,CD79A,JCHAIN,IRAG2,CD52,MS4A1,IGLL5,MZB1,CD22
ACH-000372,P12ICHIKAWA,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",blood,ALL,t_cell,blood,CHI3L2,CD3D,AIF1,ITM2A,CD3E,CD1E,LCK,ARMH1,IGLL1,CD1B
ACH-000373,SKM1,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,MPO,PRTN3,ELANE,AZU1,AIF1,CLC,PRG2,LYZ,RNASE2,GMFG
ACH-000374,HCC1143,HCC1143_BREAST,Female,Breast Cancer,Breast Ductal Carcinoma,breast,breast_ductal_carcinoma,ERneg_HER2neg,breast,SERPINA3,KRT6B,GABRP,NOTCH3,AZGP1,KRT81,KLK6,C3,FBLN2,TYMP
ACH-000375,G402,G402_SOFT_TISSUE,Female,Kidney Cancer,Renal Leiomyoblastoma,soft_tissue,malignant_rhabdoid_tumor,renal_leiomyoblastoma,soft_tissue,FAM9C,IGFL3,IGFN1,COL1A2,PI16,IGFL2,SOSTDC1,DCN,SLC34A2,GRIA1
ACH-000376,SF295,SF295_CENTRAL_NERVOUS_SYSTEM,Female,Brain Cancer,Glioblastoma,central_nervous_system,glioma,glioblastoma,central_nervous_system,MMP1,MMP3,DIO2,THY1,COL6A3,BEX1,IGFBP5,MMP13,PTN,MMP2
ACH-000377,SNU478,SNU478_BILIARY_TRACT,Unknown,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",bile_duct,cholangiocarcinoma,extrahepatic,bile_duct,SPINK1,MT1G,KRT17,CEACAM6,MANSC1,MUC5AC,BCL2L14,AGR2,GAL,UBD
ACH-000378,NCIH647,NCIH647_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",lung,NSCLC,NSCLC_adenosquamous,lung,CXCL5,KRT81,CXCL1,CXCL6,S100A9,ALDH3A1,CXCL3,AKR1C1,TNFRSF6B,GRAMD1B
ACH-000379,NCIH1781,NCIH1781_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,CEACAM6,SLC34A2,CXCL17,KRT4,CALML5,CLIC6,RNASE1,XAGE1B,S100A14,KRT7
ACH-000381,T84,T84_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,TSPAN8,KRT20,LGALS4,MMP7,FABP1,CEACAM5,CDH17,STYXL2,PHGR1,MUC13
ACH-000382,CORL24,CORL24_LUNG,Male,Lung Cancer,Small Cell Lung Cancer (SCLC),lung,SCLC,,lung,NNAT,PCP4,POU4F3,KCNH6,L1TD1,HPCA,MFAP4,CLEC18B,KRT20,NEUROD1
ACH-000383,OE33,OE33_OESOPHAGUS,Female,Esophageal Cancer,Adenocarcinoma,esophagus,esophagus_adenocarcinoma,,esophagus,MMP7,KRT19,DHRS9,KLK6,KLK5,PLAAT4,ACTL8,VGLL1,ALDH1A3,AREG
ACH-000384,SW780,SW780_URINARY_TRACT,Female,Bladder Cancer,Transitional Cell Carcinoma,urinary_tract,bladder_carcinoma,bladder_transitional_cell,urinary_tract,GSTM1,FABP4,UGT1A10,REN,S100P,IGFL1,KRT13,LY6D,UPK1A,KRT7
ACH-000385,SKRC20,SKRC20_KIDNEY,Unknown,Kidney Cancer,Renal Cell Carcinoma,kidney,renal_cell_carcinoma,,kidney,ALDH1A1,GSTA1,IFI27,PDZK1IP1,IGFN1,UGT1A1,IFITM1,MX1,UBD,IFI44L
ACH-000386,KG1,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,AIF1,CD34,CD52,LSP1,ITGAL,STAB1,ARMH1,LCP2,ITM2A,SMIM24
ACH-000387,TF1,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,HBA1,HBA2,HBG2,PPP1R14A,HBZ,ARMH1,TYROBP,RPS4Y1,MPIG6B,HBB
ACH-000388,NUDHL1,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),lymphocyte,non_hodgkin_lymphoma,DLBCL,lymphocyte,CD52,CD79A,HLA-DRA,JCHAIN,KLRK1,CD48,CACNA2D4,FCMR,CD74,LSP1
ACH-000389,H4,H4_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Glioma,central_nervous_system,glioma,,central_nervous_system,COL6A3,SPANXA2,SPANXA1,DIO2,VCX3B,SLC14A1,IGFBP5,FAM20C,IFI27,SPANXD
ACH-000390,LUDLU1,LUDLU1_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",lung,NSCLC,NSCLC_squamous,lung,S100A9,CES1,AKR1B10,KRT6A,SPP1,KRT5,GPX2,KRT17,S100A8,AQP3
ACH-000391,MHHES1,MHHES1_BONE,Male,Bone Cancer,Ewings Sarcoma,bone,Ewing_sarcoma,,bone,PRAC1,LOXHD1,ITM2A,RBM11,GRP,APCDD1,UGT3A2,OTX2,SYCP1,OLFML3
ACH-000392,CALU3,CALU3_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,FDCSP,CSN3,CXCL5,SERPINA3,LCN2,KRT23,RARRES1,GABRP,TM4SF4,CTSE
ACH-000393,HLF,HLF_LIVER,Male,Liver Cancer,Hepatocellular Carcinoma,liver,hepatocellular_carcinoma,,liver,MMP1,PAGE2,SSX1,TUBA3C,GTSF1,SPANXB1,PAGE5,SERPINE1,MAGEA4,XAGE1B
ACH-000394,NCIH2081,NCIH2081_LUNG,Female,Lung Cancer,Small Cell Lung Cancer (SCLC),lung,SCLC,,lung,ASCL1,CHGA,HEPACAM2,MS4A8,FXYD6,INSM1,KIF1A,BEX1,AGR3,RBP1
ACH-000395,NCIH520,NCIH520_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",lung,NSCLC,NSCLC_squamous,lung,CXCL14,RBP1,NOTUM,NKD1,MUCL1,FGF19,CHL1,FGF3,MAGEA4,VWA2
ACH-000396,J82,J82_URINARY_TRACT,Male,Bladder Cancer,Transitional Cell Carcinoma,urinary_tract,bladder_carcinoma,bladder_transitional_cell,urinary_tract,DIO2,KRT7,PSG1,OXTR,NPPB,PSG9,PSG5,C4BPB,OLR1,SERPINE1
ACH-000397,TEN,TEN_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Clear Cell Carcinoma,uterus,clear_cell_carcinoma,,uterus,TFPI2,SPP1,MMP7,CXCL5,LCN2,PDZK1IP1,NLRP2,CXCL1,CCL20,CD34
ACH-000398,RI1,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Lymphoma,"B-cell, Non-Hodgkins",lymphocyte,non_hodgkin_lymphoma,b_cell,lymphocyte,TCL1A,IGLL5,CD79A,NLRP7,SPIB,CD79B,CD52,CD37,VPREB3,LSP1
ACH-000399,NCIH2196,NCIH2196_LUNG,Male,Lung Cancer,Small Cell Lung Cancer (SCLC),lung,SCLC,,lung,CHGB,ASCL1,PCP4,SCG2,AGT,GRP,PCSK2,CALCA,PGF,HSD17B13
ACH-000400,SKCO1,SKCO1_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,SPINK4,PHGR1,LGALS4,KRT20,CEACAM5,CTSE,GPX2,TFF1,PLA2G2A,TSPAN8
ACH-000401,COLO800,COLO800_SKIN,Male,Skin Cancer,Melanoma,skin,melanoma,,skin,S100B,MMP1,S100A1,SOX10,LOXL4,SERPINE2,SPARC,MIA,MPZ,RNASE1
ACH-000402,BL70,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,lymphocyte,IGLL5,CD79A,TCL1A,JCHAIN,FCRLA,CD79B,MS4A1,MEF2B,IRAG2,POU2AF1
ACH-000403,NCIH747,NCIH747_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,KRT20,LCN2,KRT23,CST6,SOSTDC1,MUC20,KLK7,ZBED2,VGLL1,KRT34
ACH-000404,K029AX,K029AX_SKIN,Unknown,Skin Cancer,Melanoma,skin,melanoma,,skin,PMEL,DCT,S100B,HSD3B2,TYR,TYRP1,SLC45A2,MLANA,PLP1,RNASE1
ACH-000405,MEC1,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Chronic Lymphoblastic Leukemia (CLL), B-cell",blood,CLL,b_cell,blood,MS4A1,HLA-DQA1,JCHAIN,CD48,HLA-DRA,CD79A,CD53,FCER2,CD52,CD22
ACH-000406,U937,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,CTSG,ELANE,CST7,AZU1,PRTN3,ARMH1,PLEK,TPSAB1,NKG7,RNASE2
ACH-000407,SNU685,SNU685_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Malignant Mixed Mullerian Tumor (MMMT),uterus,MMMT,,uterus,COL1A2,MMP13,COL3A1,COL1A1,COL6A3,GREM1,MMP2,MEST,TGFBI,COLEC12
ACH-000408,TE5,TE5_OESOPHAGUS,Female,Esophageal Cancer,Squamous Cell Carcinoma,esophagus,esophagus_squamous,,esophagus,UGT1A10,CAPNS2,SPTSSB,GPX2,AC007906.2,APOD,ERP27,UGT1A6,AGR2,FOS
ACH-000409,OVSAHO,OVSAHO_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, high grade serous",ovary,ovary_adenocarcinoma,high_grade_serous,ovary,WFDC2,SLPI,FOLR1,PRSS2,S100A1,SPON1,TMEM100,AQP5,IGFBP2,KLK6
ACH-000410,SAOS2,SAOS2_BONE,Female,Bone Cancer,Osteosarcoma,bone,osteosarcoma,,bone,ALPL,SPANXB1,NOTUM,CGB5,ACTA2,COL1A1,COL11A1,HAPLN1,COL6A2,LUM
ACH-000411,769P,769P_KIDNEY,Female,Kidney Cancer,"Renal Carcinoma, clear cell",kidney,renal_cell_carcinoma,clear_cell,kidney,IGFN1,SPP1,CLDN2,FXYD2,HAVCR1,UGT1A9,SLC17A3,DPYSL3,PDZK1IP1,NEFL
ACH-000412,SNU1197,SNU1197_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,KRT20,KRT23,SAA1,CALB1,KLK6,IFI27,LCN2,TNFRSF6B,KLK10,MMP7
ACH-000413,HS739T,HS739T_FIBROBLAST,Female,Fibroblast,Breast,fibroblast,fibroblast_breast,,fibroblast,COL1A2,GREM1,SULF1,COL1A1,IGFBP5,COL3A1,COL6A3,POSTN,TAGLN,FN1
ACH-000414,NCIH1944,NCIH1944_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,HPD,AKR1B10,SPP1,S100A9,FGG,AKR1C2,S100P,AKR1C1,CPLX2,GPX2
ACH-000415,BICR6,BICR6_UPPER_AERODIGESTIVE_TRACT,Male,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",upper_aerodigestive,upper_aerodigestive_squamous,oral,upper_aerodigestive,KRT6A,LCN2,KRT14,SAA1,KRT17,KRT5,PSCA,SAA2,LY6D,KRT16
ACH-000416,NCIH838,NCIH838_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,CT45A1,GAGE12E,GAGE2A,CT45A3,GAGE2E,CTAG2,GAGE12J,MAGEA4,SLPI,HSPB3
ACH-000417,PANC0813,PANC0813_PANCREAS,Male,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,PRSS2,CEACAM6,CXCL5,CST6,LCN2,DHRS9,PRSS1,TMPRSS4,ADGRF1,KRT19
ACH-000418,SW1353,SW1353_BONE,Female,Bone Cancer,Chondrosarcoma,bone,chondrosarcoma,,bone,CPA4,GAGE2E,COL1A2,COL6A3,COL1A1,KRT81,PAGE2,PAGE5,SERPINE1,GAGE2A
ACH-000420,SNU449,SNU449_LIVER,Male,Liver Cancer,Hepatocellular Carcinoma,liver,hepatocellular_carcinoma,,liver,SPP1,ALDH1A1,FXYD2,HAVCR1,FGB,ABCB1,PADI2,TM4SF18,SULT1C4,AQP1
ACH-000421,SW837,SW837_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,KRT23,GDA,WNT11,KLK10,KLK6,MMP7,DHRS2,KRT13,HPGD,SLC1A3
ACH-000422,SNU475,SNU475_LIVER,Male,Liver Cancer,Hepatocellular Carcinoma,liver,hepatocellular_carcinoma,,liver,AKR1B10,COL3A1,ACTG2,ACTA2,C4B,C4A,CES1,SPANXA2,AKR1C3,MYL9
ACH-000423,SKMEL3,SKMEL3_SKIN,Female,Skin Cancer,Melanoma,skin,melanoma,,skin,PMEL,DCT,CRYAB,S100B,MLANA,SLC45A2,CAPN3,PLP1,SOX10,GPNMB
ACH-000424,TC71,TC71_BONE,Male,Bone Cancer,Ewings Sarcoma,bone,Ewing_sarcoma,,bone,GRP,ITM2A,PRAC1,XAGE1A,XAGE1B,UTS2,STMN4,PKP1,UGT3A2,MFAP4
ACH-000425,UACC62,UACC62_SKIN,Unknown,Skin Cancer,Melanoma,skin,melanoma,,skin,SERPINA3,IL13RA2,S100B,MGP,MAGEA4,MIA,SERPINE2,ITIH5,SOX10,CT45A1
ACH-000427,NCIN87,NCIN87_STOMACH,Male,Gastric Cancer,"Adenocarcinoma, tubular",gastric,gastric_adenocarcinoma,tubular,gastric,KRT17,KLK6,KRT23,IGFL2,ERBB2,WNT11,DAZ1,PPP1R1B,ACTL8,GRB7
ACH-000428,UO31,UO31_KIDNEY,Unknown,Kidney Cancer,Renal Cell Carcinoma,kidney,renal_cell_carcinoma,,kidney,SPP1,PDZK1IP1,LRRN4,CYP24A1,G0S2,TNFRSF6B,MT1E,THBS2,SERPINE1,PTGIS
ACH-000429,A704,A704_KIDNEY,Male,Kidney Cancer,Renal Cell Carcinoma,kidney,renal_cell_carcinoma,,kidney,FXYD2,SLC17A3,NDUFA4L2,PDZK1IP1,FABP6,BHMT2,SPP1,GUCA1C,TNFAIP6,HAVCR1
